"station"	"season"	"duration_mean"	"num_rentals"	"id"	"lat"	"long"	"no_bikes"	"no_empty_docks"	"atm"	"bank"	"bar"	"bench"	"bicycle_parking"	"bicycle_rental"	"cafe"	"doctors"	"drinking_water"	"embassy"	"fast_food"	"fountain"	"fuel"	"kindergarten"	"nightclub"	"parking"	"parking_entrance"	"pharmacy"	"place_of_worship"	"police"	"post_box"	"post_office"	"pub"	"recycling"	"restaurant"	"school"	"theatre"	"waste_basket"	"artwork_type_statue"	"diplomatic_embassy"	"emergency_fire_hydrant"	"bus_stop"	"crossing"	"motorway_junction"	"stop"	"traffic_signals"	"turning_circle"	"historic_memorial"	"historic_monument"	"leisure_park"	"leisure_sports_centre"	"office_government"	"outdoor_seating"	"parking_underground"	"railway_level_crossing"	"railway_station"	"railway_subway_entrance"	"shop_alcohol"	"shop_art"	"shop_bakery"	"shop_beauty"	"shop_books"	"shop_clothes"	"shop_convenience"	"shop_dry_cleaning"	"shop_electronics"	"shop_gift"	"shop_hairdresser"	"shop_mobile_phone"	"shop_shoes"	"shop_stationery"	"shop_supermarket"	"station_subway"	"tourism_artwork"	"tourism_hotel"	"tourism_information"	"tourism_museum"
"10th & U St NW"	"Autumn"	12.7245870393901	3148	"43"	38.9172	-77.0259	5	10	0	1	6	0	0	2	1	0	1	0	1	0	0	0	3	0	0	1	2	0	2	0	3	0	20	5	0	0	0	0	0	1	9	0	1	18	0	0	1	0	0	0	1	0	0	2	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	1
"10th St & Constitution Ave NW"	"Summer"	29.9495093158868	7031	"76"	38.893028	-77.026013	11	18	0	1	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	76	0	1	50	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0
"10th St & Constitution Ave NW"	"Winter"	23.8360936607653	1751	"76"	38.893028	-77.026013	11	18	0	1	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	76	0	1	50	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0
"10th St & Constitution Ave NW"	"Spring"	30.0408291457286	6368	"76"	38.893028	-77.026013	11	18	0	1	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	76	0	1	50	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0
"10th St & Constitution Ave NW"	"Autumn"	26.317283324886	3946	"76"	38.893028	-77.026013	11	18	0	1	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	76	0	1	50	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0
"11th & F St NW"	"Summer"	22.9482347844921	4617	"125"	38.897857	-77.026975	14	1	1	7	1	0	3	2	7	1	0	0	7	0	0	0	0	0	0	0	4	0	1	0	1	4	10	0	1	4	0	0	0	1	68	0	1	30	0	0	0	1	1	0	0	0	0	7	3	0	0	1	0	1	8	0	0	0	2	0	0	0	0	0	7	2	2	1	1
"11th & F St NW"	"Autumn"	19.884996900186	3226	"125"	38.897857	-77.026975	14	1	1	7	1	0	3	2	7	1	0	0	7	0	0	0	0	0	0	0	4	0	1	0	1	4	10	0	1	4	0	0	0	1	68	0	1	30	0	0	0	1	1	0	0	0	0	7	3	0	0	1	0	1	8	0	0	0	2	0	0	0	0	0	7	2	2	1	1
"11th & F St NW"	"Spring"	22.6935946462715	4184	"125"	38.897857	-77.026975	14	1	1	7	1	0	3	2	7	1	0	0	7	0	0	0	0	0	0	0	4	0	1	0	1	4	10	0	1	4	0	0	0	1	68	0	1	30	0	0	0	1	1	0	0	0	0	7	3	0	0	1	0	1	8	0	0	0	2	0	0	0	0	0	7	2	2	1	1
"11th & F St NW"	"Winter"	14.1067750677507	1845	"125"	38.897857	-77.026975	14	1	1	7	1	0	3	2	7	1	0	0	7	0	0	0	0	0	0	0	4	0	1	0	1	4	10	0	1	4	0	0	0	1	68	0	1	30	0	0	0	1	1	0	0	0	0	7	3	0	0	1	0	1	8	0	0	0	2	0	0	0	0	0	7	2	2	1	1
"11th & H St NE"	"Autumn"	11.2835071456161	2589	"111"	38.899983	-76.991383	8	11	1	2	1	0	0	1	1	0	0	0	5	0	0	1	0	0	0	1	2	0	0	0	2	0	7	1	0	0	0	0	0	0	73	0	14	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	4	2	0	0	0	5	2	0	0	1	0	0	0	0	0
"11th & H St NE"	"Spring"	12.9127237851662	3128	"111"	38.899983	-76.991383	8	11	1	2	1	0	0	1	1	0	0	0	5	0	0	1	0	0	0	1	2	0	0	0	2	0	7	1	0	0	0	0	0	0	73	0	14	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	4	2	0	0	0	5	2	0	0	1	0	0	0	0	0
"11th & H St NE"	"Winter"	10.6848852901484	1482	"111"	38.899983	-76.991383	8	11	1	2	1	0	0	1	1	0	0	0	5	0	0	1	0	0	0	1	2	0	0	0	2	0	7	1	0	0	0	0	0	0	73	0	14	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	4	2	0	0	0	5	2	0	0	1	0	0	0	0	0
"11th & H St NE"	"Summer"	12.8371806709757	3249	"111"	38.899983	-76.991383	8	11	1	2	1	0	0	1	1	0	0	0	5	0	0	1	0	0	0	1	2	0	0	0	2	0	7	1	0	0	0	0	0	0	73	0	14	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	4	2	0	0	0	5	2	0	0	1	0	0	0	0	0
"11th & Kenyon St NW"	"Winter"	13.2768567639257	3016	"16"	38.929464	-77.027822	1	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	1	19	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"11th & Kenyon St NW"	"Summer"	14.5557968593385	5986	"16"	38.929464	-77.027822	1	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	1	19	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"11th & Kenyon St NW"	"Autumn"	13.6497125165856	4522	"16"	38.929464	-77.027822	1	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	1	19	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"11th & Kenyon St NW"	"Spring"	14.4293432382239	5923	"16"	38.929464	-77.027822	1	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	1	19	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"11th & M St NW"	"Winter"	9.27634139560745	3597	"115"	38.905607	-77.027137	8	11	0	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	2	3	0	2	0	0	0	3	1	0	0	1	0	0	1	49	0	1	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	4	0	1
"11th & M St NW"	"Summer"	12.2764765784114	7856	"115"	38.905607	-77.027137	8	11	0	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	2	3	0	2	0	0	0	3	1	0	0	1	0	0	1	49	0	1	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	4	0	1
"11th & M St NW"	"Spring"	12.2368701679552	7502	"115"	38.905607	-77.027137	8	11	0	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	2	3	0	2	0	0	0	3	1	0	0	1	0	0	1	49	0	1	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	4	0	1
"11th & M St NW"	"Autumn"	10.240354535975	5754	"115"	38.905607	-77.027137	8	11	0	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	2	3	0	2	0	0	0	3	1	0	0	1	0	0	1	49	0	1	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	4	0	1
"12th & Army Navy Dr"	"Summer"	18.5541601255887	1274	"9"	38.8629	-77.0528	2	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	11	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"12th & Army Navy Dr"	"Spring"	21.3166109253066	897	"9"	38.8629	-77.0528	2	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	11	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"12th & Army Navy Dr"	"Autumn"	17.348195329087	942	"9"	38.8629	-77.0528	2	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	11	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"12th & Army Navy Dr"	"Winter"	21.516290726817	399	"9"	38.8629	-77.0528	2	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	11	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"12th & L St NW"	"Autumn"	10.5822211630124	4196	"186"	38.903819	-77.0284	5	14	0	2	0	0	0	2	3	1	1	0	4	0	0	0	0	0	0	0	2	0	4	0	1	0	5	2	0	0	1	0	0	5	96	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0
"12th & L St NW"	"Winter"	8.74140241179098	2239	"186"	38.903819	-77.0284	5	14	0	2	0	0	0	2	3	1	1	0	4	0	0	0	0	0	0	0	2	0	4	0	1	0	5	2	0	0	1	0	0	5	96	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0
"12th & L St NW"	"Spring"	12.8723404255319	4606	"186"	38.903819	-77.0284	5	14	0	2	0	0	0	2	3	1	1	0	4	0	0	0	0	0	0	0	2	0	4	0	1	0	5	2	0	0	1	0	0	5	96	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0
"12th & L St NW"	"Summer"	11.6520837652913	4823	"186"	38.903819	-77.0284	5	14	0	2	0	0	0	2	3	1	1	0	4	0	0	0	0	0	0	0	2	0	4	0	1	0	5	2	0	0	1	0	0	5	96	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0
"12th & Newton St NE"	"Winter"	16.592	125	"73"	38.933668	-76.991016	3	7	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12th & Newton St NE"	"Spring"	27.7775628626692	517	"73"	38.933668	-76.991016	3	7	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12th & Newton St NE"	"Summer"	20.3977695167286	538	"73"	38.933668	-76.991016	3	7	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12th & Newton St NE"	"Autumn"	22.6035856573705	502	"73"	38.933668	-76.991016	3	7	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12th & U St NW"	"Winter"	11.2410586552217	2796	"242"	38.916787	-77.028139	1	29	0	2	3	0	0	2	3	0	1	0	2	0	0	0	3	0	0	2	2	0	2	0	1	0	14	4	1	0	0	0	0	1	12	0	1	15	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	1	3	1	0	0	0	1	0	0	0	2	0	0	0	0
"12th & U St NW"	"Summer"	13.4010592200289	6231	"242"	38.916787	-77.028139	1	29	0	2	3	0	0	2	3	0	1	0	2	0	0	0	3	0	0	2	2	0	2	0	1	0	14	4	1	0	0	0	0	1	12	0	1	15	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	1	3	1	0	0	0	1	0	0	0	2	0	0	0	0
"12th & U St NW"	"Spring"	13.9573807968648	6124	"242"	38.916787	-77.028139	1	29	0	2	3	0	0	2	3	0	1	0	2	0	0	0	3	0	0	2	2	0	2	0	1	0	14	4	1	0	0	0	0	1	12	0	1	15	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	1	3	1	0	0	0	1	0	0	0	2	0	0	0	0
"12th & U St NW"	"Autumn"	11.9142731857049	4561	"242"	38.916787	-77.028139	1	29	0	2	3	0	0	2	3	0	1	0	2	0	0	0	3	0	0	2	2	0	2	0	1	0	14	4	1	0	0	0	0	1	12	0	1	15	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	0	1	3	1	0	0	0	1	0	0	0	2	0	0	0	0
"13th & D St NE"	"Spring"	12.6654545454545	4125	"101"	38.894832	-76.987633	8	23	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13th & D St NE"	"Summer"	13.0661424606846	4324	"101"	38.894832	-76.987633	8	23	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13th & D St NE"	"Winter"	12.2644362969753	2182	"101"	38.894832	-76.987633	8	23	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13th & D St NE"	"Autumn"	12.1121908127208	3396	"101"	38.894832	-76.987633	8	23	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13th & H St NE"	"Winter"	10.8418580375783	1916	"81"	38.9003	-76.9882	12	14	0	0	3	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	5	0	6	0	1	0	0	0	0	0	61	0	9	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0
"13th & H St NE"	"Autumn"	13.0923603192702	3508	"81"	38.9003	-76.9882	12	14	0	0	3	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	5	0	6	0	1	0	0	0	0	0	61	0	9	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0
"13th & H St NE"	"Spring"	13.784388185654	4740	"81"	38.9003	-76.9882	12	14	0	0	3	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	5	0	6	0	1	0	0	0	0	0	61	0	9	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0
"13th & H St NE"	"Summer"	14.3410809813688	5421	"81"	38.9003	-76.9882	12	14	0	0	3	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	5	0	6	0	1	0	0	0	0	0	61	0	9	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0
"13th St & Eastern Ave"	"Spring"	25.2924901185771	253	"225"	38.987	-77.029417	4	10	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"13th St & Eastern Ave"	"Summer"	22.3044982698962	289	"225"	38.987	-77.029417	4	10	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"13th St & Eastern Ave"	"Autumn"	13.0448275862069	290	"225"	38.987	-77.029417	4	10	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"13th St & Eastern Ave"	"Winter"	12.5636363636364	55	"225"	38.987	-77.029417	4	10	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"13th St & New York Ave NW"	"Winter"	13.4345360824742	1940	"91"	38.900283	-77.029822	17	5	0	5	0	0	0	2	6	0	1	0	5	0	0	0	0	1	0	1	2	0	1	1	0	0	4	0	0	0	1	0	0	3	68	0	0	34	0	0	0	0	1	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	2	2	0	1
"13th St & New York Ave NW"	"Autumn"	16.1894065446478	3606	"91"	38.900283	-77.029822	17	5	0	5	0	0	0	2	6	0	1	0	5	0	0	0	0	1	0	1	2	0	1	1	0	0	4	0	0	0	1	0	0	3	68	0	0	34	0	0	0	0	1	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	2	2	0	1
"13th St & New York Ave NW"	"Summer"	18.259209039548	4425	"91"	38.900283	-77.029822	17	5	0	5	0	0	0	2	6	0	1	0	5	0	0	0	0	1	0	1	2	0	1	1	0	0	4	0	0	0	1	0	0	3	68	0	0	34	0	0	0	0	1	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	2	2	0	1
"13th St & New York Ave NW"	"Spring"	19.0591689250226	4428	"91"	38.900283	-77.029822	17	5	0	5	0	0	0	2	6	0	1	0	5	0	0	0	0	1	0	1	2	0	1	1	0	0	4	0	0	0	1	0	0	3	68	0	0	34	0	0	0	0	1	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	2	2	0	1
"14th & D St NW / Ronald Reagan Building"	"Autumn"	22.3890808569454	4341	"104"	38.894514	-77.031617	14	9	0	0	0	0	0	2	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	2	71	0	0	46	0	1	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0
"14th & D St NW / Ronald Reagan Building"	"Summer"	28.6917426200517	7351	"104"	38.894514	-77.031617	14	9	0	0	0	0	0	2	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	2	71	0	0	46	0	1	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0
"14th & D St NW / Ronald Reagan Building"	"Spring"	27.9381217086015	6836	"104"	38.894514	-77.031617	14	9	0	0	0	0	0	2	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	2	71	0	0	46	0	1	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0
